dataset,budget,selector_name,trace_count,mean_selected_tokens,mean_supporting_fact_recall_at_budget,mean_gold_support_packets_selected,quality_per_1k_tokens,false_greedy_supported_risk_rate,ambiguity_rate,budget_compliance_rate
HotpotQA,256,bm25_topk,5,254.2,0.646667,1.6,2.54393,0.6,0.0,1.0
HotpotQA,256,mmr_density_greedy,5,251.4,0.446667,1.2,1.776718,0.0,0.0,1.0
HotpotQA,256,random_budget,5,253.4,0.333333,0.8,1.315442,0.0,1.0,1.0
HotpotQA,256,v12_diagnostic_policy,5,253.2,0.753333,2.0,2.975249,0.0,0.0,1.0
HotpotQA,512,bm25_topk,5,509.4,0.92,2.4,1.806046,0.2,0.0,1.0
HotpotQA,512,mmr_density_greedy,5,509.6,0.853333,2.2,1.674515,0.0,0.0,1.0
HotpotQA,512,random_budget,5,510.0,0.726667,2.0,1.424837,0.0,1.0,1.0
HotpotQA,512,v12_diagnostic_policy,5,509.8,0.92,2.4,1.804629,0.0,0.0,1.0
ProjectNativeRealisticTasks,32,bm25_topk,3,29.666667,0.611111,1.666667,20.599247,1.0,0.0,1.0
ProjectNativeRealisticTasks,32,mmr_density_greedy,3,29.666667,0.611111,1.666667,20.599247,0.0,0.0,1.0
ProjectNativeRealisticTasks,32,random_budget,3,28.666667,0.333333,1.0,11.627895,0.0,1.0,1.0
ProjectNativeRealisticTasks,32,v12_diagnostic_policy,3,29.666667,0.611111,1.666667,20.599247,0.0,0.0,1.0
ProjectNativeRealisticTasks,34,bm25_topk,3,29.666667,0.611111,1.666667,20.599247,1.0,0.0,1.0
ProjectNativeRealisticTasks,34,mmr_density_greedy,3,29.666667,0.611111,1.666667,20.599247,0.0,0.0,1.0
ProjectNativeRealisticTasks,34,random_budget,3,30.0,0.555555,1.333333,18.5185,0.0,1.0,1.0
ProjectNativeRealisticTasks,34,v12_diagnostic_policy,3,32.0,0.888889,2.333333,27.777781,0.0,0.0,1.0
ProjectNativeRealisticTasks,38,bm25_topk,3,35.333333,0.611111,1.666667,17.295595,1.0,0.0,1.0
ProjectNativeRealisticTasks,38,mmr_density_greedy,3,35.333333,0.611111,1.666667,17.295595,0.0,0.0,1.0
ProjectNativeRealisticTasks,38,random_budget,3,36.666667,0.777778,2.0,21.212127,0.0,1.0,1.0
ProjectNativeRealisticTasks,38,v12_diagnostic_policy,3,35.0,0.888889,2.333333,25.396829,0.0,0.0,1.0
