annotation_item_id,question_id,paragraph_id,hop_depth,source,automated_label,requires_expert
2hop__132929_684936::2,2hop__132929_684936,2,2hop,tolerance_flagged,BUFFER,True
2hop__132929_684936::4,2hop__132929_684936,4,2hop,tolerance_flagged,BUFFER,True
2hop__32254_84601::0,2hop__32254_84601,0,2hop,tolerance_flagged,BUFFER,True
2hop__32254_84601::1,2hop__32254_84601,1,2hop,tolerance_flagged,LOW,True
2hop__32254_84601::2,2hop__32254_84601,2,2hop,tolerance_flagged,BUFFER,True
2hop__32254_84601::4,2hop__32254_84601,4,2hop,tolerance_flagged,HIGH,True
2hop__86458_20273::2,2hop__86458_20273,2,2hop,face_validity_sample,LOW,True
2hop__86458_20273::3,2hop__86458_20273,3,2hop,tolerance_flagged,BUFFER,True
2hop__86458_20273::4,2hop__86458_20273,4,2hop,tolerance_flagged,HIGH,True
3hop1__222979_40769_64047::2,3hop1__222979_40769_64047,2,3hop,tolerance_flagged,BUFFER,True
3hop1__222979_40769_64047::3,3hop1__222979_40769_64047,3,3hop,tolerance_flagged,BUFFER,True
3hop1__409517_547811_80702::2,3hop1__409517_547811_80702,2,3hop,tolerance_flagged,BUFFER,True
3hop1__409517_547811_80702::3,3hop1__409517_547811_80702,3,3hop,tolerance_flagged,BUFFER,True
3hop1__409517_547811_80702::4,3hop1__409517_547811_80702,4,3hop,tolerance_flagged,HIGH,True
3hop1__773623_87694_124169::0,3hop1__773623_87694_124169,0,3hop,tolerance_flagged,LOW,True
3hop1__773623_87694_124169::1,3hop1__773623_87694_124169,1,3hop,face_validity_sample,HIGH,True
3hop1__773623_87694_124169::3,3hop1__773623_87694_124169,3,3hop,tolerance_flagged,BUFFER,True
3hop1__773623_87694_124169::4,3hop1__773623_87694_124169,4,3hop,tolerance_flagged,LOW,True
4hop1__105401_17130_70784_61381::0,4hop1__105401_17130_70784_61381,0,4hop,tolerance_flagged,BUFFER,True
4hop1__105401_17130_70784_61381::1,4hop1__105401_17130_70784_61381,1,4hop,tolerance_flagged,BUFFER,True
4hop1__105401_17130_70784_61381::2,4hop1__105401_17130_70784_61381,2,4hop,tolerance_flagged,LOW,True
4hop1__105401_17130_70784_61381::3,4hop1__105401_17130_70784_61381,3,4hop,tolerance_flagged,BUFFER,True
4hop1__76111_624859_355213_203322::1,4hop1__76111_624859_355213_203322,1,4hop,tolerance_flagged,BUFFER,True
4hop1__76111_624859_355213_203322::2,4hop1__76111_624859_355213_203322,2,4hop,tolerance_flagged,HIGH,True
4hop1__76111_624859_355213_203322::4,4hop1__76111_624859_355213_203322,4,4hop,tolerance_flagged,BUFFER,True
4hop3__373866_5189_38229_86687::0,4hop3__373866_5189_38229_86687,0,4hop,tolerance_flagged,LOW,True
4hop3__373866_5189_38229_86687::2,4hop3__373866_5189_38229_86687,2,4hop,tolerance_flagged,LOW,True
4hop3__373866_5189_38229_86687::4,4hop3__373866_5189_38229_86687,4,4hop,tolerance_flagged,HIGH,True
