question_id,hop_depth,model_role,paragraph_id,delta_loo_lcb
2hop__451574_120065,2hop,small,0,-0.00020459999999999999
2hop__451574_120065,2hop,small,1,4.68e-05
2hop__451574_120065,2hop,small,2,1.06e-05
2hop__451574_120065,2hop,small,3,-0.0001582
2hop__451574_120065,2hop,small,4,-0.0002678
2hop__451574_120065,2hop,small,5,4.7000000000000004e-05
2hop__451574_120065,2hop,small,6,-0.00017999999999999998
2hop__451574_120065,2hop,small,7,8.36e-05
2hop__451574_120065,2hop,small,8,-1.5999999999999915e-06
2hop__451574_120065,2hop,small,9,-8.619999999999998e-05
2hop__451574_120065,2hop,small,10,-0.00022679999999999998
2hop__451574_120065,2hop,small,11,-0.0001516
2hop__451574_120065,2hop,small,12,-0.00010699999999999997
2hop__451574_120065,2hop,small,13,0.00013879999999999999
2hop__451574_120065,2hop,small,14,7.74e-05
2hop__451574_120065,2hop,small,15,-0.0001228
2hop__451574_120065,2hop,small,16,-8.7e-05
2hop__451574_120065,2hop,small,17,-4.4e-05
2hop__451574_120065,2hop,small,18,-0.0002456
2hop__451574_120065,2hop,small,19,-1.8399999999999993e-05
